Tên ưu đãi,Thời gian ưu đãi,Loại ưu đãi,Tỉ lệ hoa hồng,Link ưu đãi
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Health,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/8fMK7Q5RoN
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Fashion Accessories,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/9pYHVZ10Rc
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Home Appliances,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/9fErJG1dmb
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Men Clothes,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/9UvR6x2H7a
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Men Shoes,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/9Kc0ue2uSZ
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Mobile & Gadgets,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/AUnyImyT5o
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Women Bags,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/AKUY6Tz6Qn
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Women Clothes,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/AAB7uAzjlm
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Women Shoes,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/9zrhhs0N6l
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Men Bags,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/LhCC6bAiu
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Watches,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/W0cOPaXNx
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Grocery,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/14LnUcROs
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Beauty,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/BNlznbo3v
"Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Moms, Kids & Babies","bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/10wszKYdN6
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Consumer Electronics,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/1BGJBdY029
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Cameras,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/gK2aiZu34
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Home & Living,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/qdSn1ZGi7
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Sport & Outdoor,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/1gCZmYW61I
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Toys,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/1qVzyrVSgL
Social media - Special commission rate during 1.1.2026 - 31.1.2026 - Automotive,"bắt đầu: 2026-01-01
kết thúc: 2026-01-31",Category,"4,5%",https://s.shopee.vn/1LZjNwXMhG
